values,sample size,mean,unbiased stdev,stdev 95% CI,CV*,measure
"[146.25, 99.16, 112.5]",3,119.30333333333333,27.386881288190747,"[-18.89, 73.66]",24.868644124673782,Coherence
"[47.08, 125.52, 80.0]",3,84.2,44.44494034308798,"[-30.65, 119.54]",57.18371184284874,Coherence
"[91.67, 85.36, 92.5]",3,89.84333333333332,4.4060906794700765,"[-3.04, 11.85]",5.312876009452658,Coherence
"[104.58, 89.53999999999999, 109.17]",3,101.09666666666668,11.586340660309592,"[-7.99, 31.16]",12.415710094630937,Coherence
"[110.42, 100.42, 105.83]",3,105.55666666666667,5.648214981231007,"[-3.90, 15.19]",5.796791198724467,Coherence
"[138.32999999999998, 109.24, 114.17]",3,120.58,17.566986523022372,"[-12.12, 47.25]",15.782801514851196,Grammar
"[38.33, 117.15, 76.67]",3,77.38333333333334,44.474886063956056,"[-30.67, 119.62]",62.26292470723979,Grammar
"[105.0, 80.33, 91.67]",3,92.33333333333333,13.933643075288465,"[-9.61, 37.48]",16.348137182197657,Grammar
"[113.33, 90.38, 109.17]",3,104.29333333333334,13.79726905056801,"[-9.52, 37.11]",14.33173242596076,Grammar
"[105.0, 102.95, 108.33]",3,105.42666666666666,3.0638420828810027,"[-2.11, 8.24]",3.1483137629199627,Grammar
"[130.82999999999998, 97.46, 105.83]",3,111.37333333333332,19.590808266947242,"[-13.51, 52.69]",19.056065745115088,Repetition
"[63.33, 144.68, 94.17]",3,100.72666666666667,46.34188856819527,"[-31.96, 124.64]",49.841530824884046,Repetition
"[95.42, 74.03999999999999, 95.0]",3,88.15333333333332,13.793655737236927,"[-9.51, 37.10]",16.95128985329351,Repetition
"[103.75, 85.23, 100.83]",3,96.60333333333334,11.235514125645741,"[-7.75, 30.22]",12.599779479089284,Repetition
"[106.67, 98.7, 104.17]",3,103.18,4.599484428459144,"[-3.17, 12.37]",4.829206045258195,Repetition
