"Response","Measure","Name","Value"
"Lab 1","Repetition","Life Time Approval Rate Mean","23.86"
"Lab 1","Repetition","Life Time Approval Rate Std","16.41"
"Lab 1","Repetition","Life Time Approval Rate Median","23.00"
"Lab 1","Repetition","Decision Time Mean (seconds)","95.90"
"Lab 1","Repetition","Decision Time Std (seconds)","342.09"
"Lab 1","Repetition","Decision Time Median (seconds)","27.00"
"Lab 1","Repetition","Hit Duration Mean","3181.30"
"Lab 1","Repetition","Hit Duration Std","3405.50"
"Lab 1","Repetition","Hit Duration Median","1826.00"
"Lab 1","Repetition","Response Per Worker Mean","4.66"
"Lab 1","Repetition","Response Per Worker Std","6.50"
"Lab 1","Repetition","Response Per Worker Median","1.50"
"Lab 1","Repetition","Number of Participants","126.00"
"Lab 1","Repetition","Inter Rater Agreement","0.20"
