"Response","Measure","Name","Value"
"Lab 2","Coherence","Life Time Approval Rate Mean","24.79"
"Lab 2","Coherence","Life Time Approval Rate Std","20.84"
"Lab 2","Coherence","Life Time Approval Rate Median","18.00"
"Lab 2","Coherence","Decision Time Mean (seconds)","80.92"
"Lab 2","Coherence","Decision Time Std (seconds)","434.82"
"Lab 2","Coherence","Decision Time Median (seconds)","14.00"
"Lab 2","Coherence","Hit Duration Mean","2976.97"
"Lab 2","Coherence","Hit Duration Std","3795.10"
"Lab 2","Coherence","Hit Duration Median","1202.00"
"Lab 2","Coherence","Response Per Worker Mean","4.58"
"Lab 2","Coherence","Response Per Worker Std","6.04"
"Lab 2","Coherence","Response Per Worker Median","2.00"
"Lab 2","Coherence","Number of Participants","131.00"
"Lab 2","Coherence","Inter Rater Agreement","-0.01"
