"Response","Measure","Name","Value"
"Lab 2","Grammar","Life Time Approval Rate Mean","34.48"
"Lab 2","Grammar","Life Time Approval Rate Std","25.22"
"Lab 2","Grammar","Life Time Approval Rate Median","35.00"
"Lab 2","Grammar","Decision Time Mean (seconds)","69.88"
"Lab 2","Grammar","Decision Time Std (seconds)","453.55"
"Lab 2","Grammar","Decision Time Median (seconds)","12.00"
"Lab 2","Grammar","Hit Duration Mean","3000.56"
"Lab 2","Grammar","Hit Duration Std","3633.12"
"Lab 2","Grammar","Hit Duration Median","1362.00"
"Lab 2","Grammar","Response Per Worker Mean","4.92"
"Lab 2","Grammar","Response Per Worker Std","9.37"
"Lab 2","Grammar","Response Per Worker Median","2.00"
"Lab 2","Grammar","Number of Participants","122.00"
"Lab 2","Grammar","Inter Rater Agreement","0.01"
