code,sum1,system1,sum2,system2
256#1#0,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 . Damian Lillard scored 34 points ( 14 - 25 FG , 4 - 9 3PT , 2 - 3 FT ) to go with 2 rebounds . Kevin Martin scored 24 points ( 7 - 12 FG , 2 - 4 3PT , 8 - 11 FT ) to go with 2 rebounds . CJ McCollum scored 18 points ( 7 - 18 FG , 2 - 6 3PT , 2 - 2 FT ) to go with 6 rebounds . Al-Farouq Aminu scored 17 points ( 7 - 12 FG , 2 - 5 3PT , 1 - 2 FT ) to go with 9 rebounds . Andrew Wiggins scored 16 points ( 5 - 17 FG , 0 - 3 3PT , 6 - 7 FT ) to go with 6 rebounds . Gorgui Dieng scored 12 points ( 6 - 9 FG , 0 - 0 3PT , 0 - 1 FT ) to go with 5 rebounds . The Portland Trail Blazers ' next game will be at home against the Dallas Mavericks, while the Minnesota Timberwolves will travel to play the Bulls .",sys1,"The Portland Trail Blazers ( 2 - 2 ) handed the Minnesota Timberwolves ( 2 - 1 ) their first loss Monday , winning 106 - 101 at the Target Center . After jumping out to a commanding 13 - point lead in the first quarter , the T-Wolves failed to keep Damian Lillard at bay . Portland 's point guard poured in a season - high 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) with seven assists in 38 minutes . Minnesota nearly completed the rally from behind in the fourth quarter , but costly turnovers and missed free throws led to the T-Wolves ' demise . The new - look Blazers are really missing the presence of LaMarcus Aldridge down low , as they have n't been able to find consistent play in their frontcourt so far this season . Meyers Leonard and Mason Plumlee combined for just 13 points and 11 rebounds in 52 minutes . Portland has been forced to rely heavily on its guard play from Lillard and C. J. McCollum , who has provided the perfect complement at the two - guard spot . McCollum finished with 18 points , six rebounds , and four assists in 36 minutes . Rookie Karl-Anthony Towns has started off his NBA career on the right foot , but took a small step back against Portland on Monday . He had a quiet night offensively , scoring just 11 points on 5 - of - 9 shooting from the field and pulled down only five rebounds in 27 minutes . Towns was in foul trouble all night , but did however manage to block four shots and did an excellent job keeping the Blazers frontcourt in check . Ricky Rubio came just short of a triple - double with 12 points , nine assists , and nine rebounds in 32 minutes , while Andrew Wiggins had another off night shooting the basketball with 16 points on 5 - of - 17 from the field . The Blazers play the first game of a back - to - back Wednesday at Utah . Minnesota welcomes the Heat to town Thursday .",sys0
256#2#0,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 21 right away in the first quarter . The Trail Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from beyond the arc . The Trail Blazers were led by the duo of Damian Lillard and C.J . McCollum . Lillard went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score a game - high of 34 points , while also adding seven assists and two steals . It was his second straight game with at least 10 rebounds . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while also adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Wednesday , while the Timberwolves will travel to Houston to play the Rockets on Wednesday .",sys2,"The Portland Trail Blazers ( 2 - 2 ) handed the Minnesota Timberwolves ( 2 - 1 ) their first loss Monday , winning 106 - 101 at the Target Center . After jumping out to a commanding 13 - point lead in the first quarter , the T-Wolves failed to keep Damian Lillard at bay . Portland 's point guard poured in a season - high 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) with seven assists in 38 minutes . Minnesota nearly completed the rally from behind in the fourth quarter , but costly turnovers and missed free throws led to the T-Wolves ' demise . The new - look Blazers are really missing the presence of LaMarcus Aldridge down low , as they have n't been able to find consistent play in their frontcourt so far this season . Meyers Leonard and Mason Plumlee combined for just 13 points and 11 rebounds in 52 minutes . Portland has been forced to rely heavily on its guard play from Lillard and C. J. McCollum , who has provided the perfect complement at the two - guard spot . McCollum finished with 18 points , six rebounds , and four assists in 36 minutes . Rookie Karl-Anthony Towns has started off his NBA career on the right foot , but took a small step back against Portland on Monday . He had a quiet night offensively , scoring just 11 points on 5 - of - 9 shooting from the field and pulled down only five rebounds in 27 minutes . Towns was in foul trouble all night , but did however manage to block four shots and did an excellent job keeping the Blazers frontcourt in check . Ricky Rubio came just short of a triple - double with 12 points , nine assists , and nine rebounds in 32 minutes , while Andrew Wiggins had another off night shooting the basketball with 16 points on 5 - of - 17 from the field . The Blazers play the first game of a back - to - back Wednesday at Utah . Minnesota welcomes the Heat to town Thursday .",sys0
256#0#3,"The Portland Trail Blazers ( 2 - 2 ) handed the Minnesota Timberwolves ( 2 - 1 ) their first loss Monday , winning 106 - 101 at the Target Center . After jumping out to a commanding 13 - point lead in the first quarter , the T-Wolves failed to keep Damian Lillard at bay . Portland 's point guard poured in a season - high 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) with seven assists in 38 minutes . Minnesota nearly completed the rally from behind in the fourth quarter , but costly turnovers and missed free throws led to the T-Wolves ' demise . The new - look Blazers are really missing the presence of LaMarcus Aldridge down low , as they have n't been able to find consistent play in their frontcourt so far this season . Meyers Leonard and Mason Plumlee combined for just 13 points and 11 rebounds in 52 minutes . Portland has been forced to rely heavily on its guard play from Lillard and C. J. McCollum , who has provided the perfect complement at the two - guard spot . McCollum finished with 18 points , six rebounds , and four assists in 36 minutes . Rookie Karl-Anthony Towns has started off his NBA career on the right foot , but took a small step back against Portland on Monday . He had a quiet night offensively , scoring just 11 points on 5 - of - 9 shooting from the field and pulled down only five rebounds in 27 minutes . Towns was in foul trouble all night , but did however manage to block four shots and did an excellent job keeping the Blazers frontcourt in check . Ricky Rubio came just short of a triple - double with 12 points , nine assists , and nine rebounds in 32 minutes , while Andrew Wiggins had another off night shooting the basketball with 16 points on 5 - of - 17 from the field . The Blazers play the first game of a back - to - back Wednesday at Utah . Minnesota welcomes the Heat to town Thursday .",sys0,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 34 in the first half alone . The Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from deep . The Trail Blazers also out - rebounded the Timberwolves 46 - 41 . The Trail Blazers were led by Damian Lillard who finished with a game - high of 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) , to go along with two rebounds and seven assists . He 's now averaging 34 points and 14 rebounds on the year . C.J . McCollum was the only other starter in double figures , as he finished with 18 points ( 7 - 18 FG , 2 - 6 3Pt , 2 - 2 FT ) and six assists . It was his second double - double in a row , as he 's combined for 46 points and 16 rebounds over his last two games . The only other Timberwolve to reach double figures in points was Ricky Rubio , who finished with 12 points ( 4 - 10 FG , 0 - 2 3Pt , 4 - 4 FT ) . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Friday , while the Timberwolves will travel to Sacramento to play the Kings .",sys3
256#0#4,"The Portland Trail Blazers ( 2 - 2 ) handed the Minnesota Timberwolves ( 2 - 1 ) their first loss Monday , winning 106 - 101 at the Target Center . After jumping out to a commanding 13 - point lead in the first quarter , the T-Wolves failed to keep Damian Lillard at bay . Portland 's point guard poured in a season - high 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) with seven assists in 38 minutes . Minnesota nearly completed the rally from behind in the fourth quarter , but costly turnovers and missed free throws led to the T-Wolves ' demise . The new - look Blazers are really missing the presence of LaMarcus Aldridge down low , as they have n't been able to find consistent play in their frontcourt so far this season . Meyers Leonard and Mason Plumlee combined for just 13 points and 11 rebounds in 52 minutes . Portland has been forced to rely heavily on its guard play from Lillard and C. J. McCollum , who has provided the perfect complement at the two - guard spot . McCollum finished with 18 points , six rebounds , and four assists in 36 minutes . Rookie Karl-Anthony Towns has started off his NBA career on the right foot , but took a small step back against Portland on Monday . He had a quiet night offensively , scoring just 11 points on 5 - of - 9 shooting from the field and pulled down only five rebounds in 27 minutes . Towns was in foul trouble all night , but did however manage to block four shots and did an excellent job keeping the Blazers frontcourt in check . Ricky Rubio came just short of a triple - double with 12 points , nine assists , and nine rebounds in 32 minutes , while Andrew Wiggins had another off night shooting the basketball with 16 points on 5 - of - 17 from the field . The Blazers play the first game of a back - to - back Wednesday at Utah . Minnesota welcomes the Heat to town Thursday .",sys0,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Friday . Damian Lillard had a game - high 34 points on 14 - of - 25 shooting , to go along with seven assists , two rebounds , two steals and one block , in 38 minutes . C. J. McCollum added 18 points , six rebounds , four assists , one steal and one block , in 36 minutes . Al-Farouq Aminu chipped in 17 points , nine rebounds , one assist and one block , in 32 minutes . The Trail Blazers shot 46 percent from the field and 30 percent from three - point range . The Timberwolves , who shot 43 percent from the field and 23 percent from beyond the arc . Kevin Martin led the team in scoring , putting up 24 points on 7 - of - 12 shooting in 35 minutes off the bench . Andrew Wiggins struggled shooting , going 5 - of - 17 from the field and 0 - of - 3 from three - point range . Ricky Rubio added 12 points , nine assists , nine rebounds and three steals in 32 minutes . The Timberwolves shot just 43 percent from the field and 23 percent from three - point range .",sys4
256#1#2,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 . Damian Lillard scored 34 points ( 14 - 25 FG , 4 - 9 3PT , 2 - 3 FT ) to go with 2 rebounds . Kevin Martin scored 24 points ( 7 - 12 FG , 2 - 4 3PT , 8 - 11 FT ) to go with 2 rebounds . CJ McCollum scored 18 points ( 7 - 18 FG , 2 - 6 3PT , 2 - 2 FT ) to go with 6 rebounds . Al-Farouq Aminu scored 17 points ( 7 - 12 FG , 2 - 5 3PT , 1 - 2 FT ) to go with 9 rebounds . Andrew Wiggins scored 16 points ( 5 - 17 FG , 0 - 3 3PT , 6 - 7 FT ) to go with 6 rebounds . Gorgui Dieng scored 12 points ( 6 - 9 FG , 0 - 0 3PT , 0 - 1 FT ) to go with 5 rebounds . The Portland Trail Blazers ' next game will be at home against the Dallas Mavericks, while the Minnesota Timberwolves will travel to play the Bulls .",sys1,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 21 right away in the first quarter . The Trail Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from beyond the arc . The Trail Blazers were led by the duo of Damian Lillard and C.J . McCollum . Lillard went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score a game - high of 34 points , while also adding seven assists and two steals . It was his second straight game with at least 10 rebounds . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while also adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Wednesday , while the Timberwolves will travel to Houston to play the Rockets on Wednesday .",sys2
256#3#1,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 34 in the first half alone . The Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from deep . The Trail Blazers also out - rebounded the Timberwolves 46 - 41 . The Trail Blazers were led by Damian Lillard who finished with a game - high of 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) , to go along with two rebounds and seven assists . He 's now averaging 34 points and 14 rebounds on the year . C.J . McCollum was the only other starter in double figures , as he finished with 18 points ( 7 - 18 FG , 2 - 6 3Pt , 2 - 2 FT ) and six assists . It was his second double - double in a row , as he 's combined for 46 points and 16 rebounds over his last two games . The only other Timberwolve to reach double figures in points was Ricky Rubio , who finished with 12 points ( 4 - 10 FG , 0 - 2 3Pt , 4 - 4 FT ) . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Friday , while the Timberwolves will travel to Sacramento to play the Kings .",sys3,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 . Damian Lillard scored 34 points ( 14 - 25 FG , 4 - 9 3PT , 2 - 3 FT ) to go with 2 rebounds . Kevin Martin scored 24 points ( 7 - 12 FG , 2 - 4 3PT , 8 - 11 FT ) to go with 2 rebounds . CJ McCollum scored 18 points ( 7 - 18 FG , 2 - 6 3PT , 2 - 2 FT ) to go with 6 rebounds . Al-Farouq Aminu scored 17 points ( 7 - 12 FG , 2 - 5 3PT , 1 - 2 FT ) to go with 9 rebounds . Andrew Wiggins scored 16 points ( 5 - 17 FG , 0 - 3 3PT , 6 - 7 FT ) to go with 6 rebounds . Gorgui Dieng scored 12 points ( 6 - 9 FG , 0 - 0 3PT , 0 - 1 FT ) to go with 5 rebounds . The Portland Trail Blazers ' next game will be at home against the Dallas Mavericks, while the Minnesota Timberwolves will travel to play the Bulls .",sys1
256#4#1,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Friday . Damian Lillard had a game - high 34 points on 14 - of - 25 shooting , to go along with seven assists , two rebounds , two steals and one block , in 38 minutes . C. J. McCollum added 18 points , six rebounds , four assists , one steal and one block , in 36 minutes . Al-Farouq Aminu chipped in 17 points , nine rebounds , one assist and one block , in 32 minutes . The Trail Blazers shot 46 percent from the field and 30 percent from three - point range . The Timberwolves , who shot 43 percent from the field and 23 percent from beyond the arc . Kevin Martin led the team in scoring , putting up 24 points on 7 - of - 12 shooting in 35 minutes off the bench . Andrew Wiggins struggled shooting , going 5 - of - 17 from the field and 0 - of - 3 from three - point range . Ricky Rubio added 12 points , nine assists , nine rebounds and three steals in 32 minutes . The Timberwolves shot just 43 percent from the field and 23 percent from three - point range .",sys4,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 . Damian Lillard scored 34 points ( 14 - 25 FG , 4 - 9 3PT , 2 - 3 FT ) to go with 2 rebounds . Kevin Martin scored 24 points ( 7 - 12 FG , 2 - 4 3PT , 8 - 11 FT ) to go with 2 rebounds . CJ McCollum scored 18 points ( 7 - 18 FG , 2 - 6 3PT , 2 - 2 FT ) to go with 6 rebounds . Al-Farouq Aminu scored 17 points ( 7 - 12 FG , 2 - 5 3PT , 1 - 2 FT ) to go with 9 rebounds . Andrew Wiggins scored 16 points ( 5 - 17 FG , 0 - 3 3PT , 6 - 7 FT ) to go with 6 rebounds . Gorgui Dieng scored 12 points ( 6 - 9 FG , 0 - 0 3PT , 0 - 1 FT ) to go with 5 rebounds . The Portland Trail Blazers ' next game will be at home against the Dallas Mavericks, while the Minnesota Timberwolves will travel to play the Bulls .",sys1
256#2#3,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 21 right away in the first quarter . The Trail Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from beyond the arc . The Trail Blazers were led by the duo of Damian Lillard and C.J . McCollum . Lillard went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score a game - high of 34 points , while also adding seven assists and two steals . It was his second straight game with at least 10 rebounds . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while also adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Wednesday , while the Timberwolves will travel to Houston to play the Rockets on Wednesday .",sys2,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 34 in the first half alone . The Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from deep . The Trail Blazers also out - rebounded the Timberwolves 46 - 41 . The Trail Blazers were led by Damian Lillard who finished with a game - high of 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) , to go along with two rebounds and seven assists . He 's now averaging 34 points and 14 rebounds on the year . C.J . McCollum was the only other starter in double figures , as he finished with 18 points ( 7 - 18 FG , 2 - 6 3Pt , 2 - 2 FT ) and six assists . It was his second double - double in a row , as he 's combined for 46 points and 16 rebounds over his last two games . The only other Timberwolve to reach double figures in points was Ricky Rubio , who finished with 12 points ( 4 - 10 FG , 0 - 2 3Pt , 4 - 4 FT ) . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Friday , while the Timberwolves will travel to Sacramento to play the Kings .",sys3
256#2#4,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 21 right away in the first quarter . The Trail Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from beyond the arc . The Trail Blazers were led by the duo of Damian Lillard and C.J . McCollum . Lillard went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score a game - high of 34 points , while also adding seven assists and two steals . It was his second straight game with at least 10 rebounds . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . Lillard on the other hand went 14 - for - 25 from the field and 4 - for - 9 from the three - point line to score 34 points , while also adding seven assists . He 's now averaging 16 points and 7 rebounds on the season . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Wednesday , while the Timberwolves will travel to Houston to play the Rockets on Wednesday .",sys2,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Friday . Damian Lillard had a game - high 34 points on 14 - of - 25 shooting , to go along with seven assists , two rebounds , two steals and one block , in 38 minutes . C. J. McCollum added 18 points , six rebounds , four assists , one steal and one block , in 36 minutes . Al-Farouq Aminu chipped in 17 points , nine rebounds , one assist and one block , in 32 minutes . The Trail Blazers shot 46 percent from the field and 30 percent from three - point range . The Timberwolves , who shot 43 percent from the field and 23 percent from beyond the arc . Kevin Martin led the team in scoring , putting up 24 points on 7 - of - 12 shooting in 35 minutes off the bench . Andrew Wiggins struggled shooting , going 5 - of - 17 from the field and 0 - of - 3 from three - point range . Ricky Rubio added 12 points , nine assists , nine rebounds and three steals in 32 minutes . The Timberwolves shot just 43 percent from the field and 23 percent from three - point range .",sys4
256#3#4,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Wednesday at the Target Center in Minnesota . The Trail Blazers got off to a quick start in this one , out - scoring the Timberwolves 34 - 34 in the first half alone . The Blazers were the superior shooters in this game , going 46 percent from the field and 30 percent from the three - point line , while the Timberwolves went 43 percent from the floor and just 23 percent from deep . The Trail Blazers also out - rebounded the Timberwolves 46 - 41 . The Trail Blazers were led by Damian Lillard who finished with a game - high of 34 points ( 14 - 25 FG , 4 - 9 3Pt , 2 - 3 FT ) , to go along with two rebounds and seven assists . He 's now averaging 34 points and 14 rebounds on the year . C.J . McCollum was the only other starter in double figures , as he finished with 18 points ( 7 - 18 FG , 2 - 6 3Pt , 2 - 2 FT ) and six assists . It was his second double - double in a row , as he 's combined for 46 points and 16 rebounds over his last two games . The only other Timberwolve to reach double figures in points was Ricky Rubio , who finished with 12 points ( 4 - 10 FG , 0 - 2 3Pt , 4 - 4 FT ) . The Trail Blazers ' next game will be on the road against the Denver Nuggets on Friday , while the Timberwolves will travel to Sacramento to play the Kings .",sys3,"The Portland Trail Blazers ( 2 - 2 ) defeated the Minnesota Timberwolves ( 2 - 1 ) 106 - 101 on Friday . Damian Lillard had a game - high 34 points on 14 - of - 25 shooting , to go along with seven assists , two rebounds , two steals and one block , in 38 minutes . C. J. McCollum added 18 points , six rebounds , four assists , one steal and one block , in 36 minutes . Al-Farouq Aminu chipped in 17 points , nine rebounds , one assist and one block , in 32 minutes . The Trail Blazers shot 46 percent from the field and 30 percent from three - point range . The Timberwolves , who shot 43 percent from the field and 23 percent from beyond the arc . Kevin Martin led the team in scoring , putting up 24 points on 7 - of - 12 shooting in 35 minutes off the bench . Andrew Wiggins struggled shooting , going 5 - of - 17 from the field and 0 - of - 3 from three - point range . Ricky Rubio added 12 points , nine assists , nine rebounds and three steals in 32 minutes . The Timberwolves shot just 43 percent from the field and 23 percent from three - point range .",sys4
